Year,State,Poverty,Annual_income,Demograph,Nitrate,Radium,Population,Cancer Cases
2011,Delaware,12.6,58159,907590,2.035876289,1.514864865,918744,155
2011,Florida,17,44250,19055607,0.588801813,0.675685279,19346681,4401
2011,Iowa,12.7,49545,3066772,1.183296089,1.756896552,2679229,637
2011,Kentucky,19.1,41141,4370817,0.927349398,0.976818182,4532689,845
2011,Maine,14.2,46160,1328473,0.495902965,2.3,690431,279
2011,Maryland,10.2,70075,5840241,1.334081633,0.795588235,5266738,794
2011,Minnesota,11.8,56944,5346620,0.637251586,1.588274336,4274600,1000
2011,Missouri,15.8,45231,6011182,0.255588235,1.40828125,4534938,971
2011,New Hampshire,9,62436,1320444,0.559046154,1.185810811,854254,227
2011,New Jersey,10.4,67574,8828552,1.22123348,1.685766423,9013555,1572
2011,New Mexico,20.9,42097,2080707,1.041797153,0.544032258,1852763,290
2011,New York,16.1,55147,19499921,0.789049025,1.562222222,18245848,3700
2011,North Carolina,17.8,44028,9658913,1.119032641,1.414738956,8058123,1521
2011,Oregon,17.3,46876,3872672,1.069132176,0.916442953,3815333,556
2011,Rhode Island,14.7,53152,1053829,1.077878788,2.8275,1024077,172
2011,South Carolina,18.8,42477,4672655,0.655659955,1.848842975,3795998,686
2011,Utah,13.6,55802,2814797,0.982753247,0.732980132,2698958,332
2011,Vermont,11.9,52033,627197,0.504844125,1.387582418,443471,100
2011,Washington,13.9,56811,6827479,1.226504065,1.266451613,5576823,1113
2011,West Virginia,18.7,38587,1856606,0.844623656,0.5344,1322756,381
2011,Wisconsin,13.1,50401,5705840,1.49692691,2.535555556,4024008,1132
2012,Arizona,18.7,47796,6556344,2.126958982,0.598952381,6399534,926
2012,California,17,58322,37944551,1.910080531,1.152857143,41012626,5083
2012,Colorado,13.6,56880,5193660,0.923433048,1.61295082,5220316,738
2012,Connecticut,10.6,67275,3595211,1.184296724,0.819866667,2673185,693
2012,Delaware,12.7,58326,915518,1.954663212,1.463157895,887669,194
2012,Florida,17.2,45006,19302016,0.602886126,0.968300283,19326390,4318
2012,Iowa,12.7,50997,3076844,1.107949886,1.479617347,2721205,604
2012,Kentucky,19.3,41717,4387865,0.877154472,0.866666667,4552037,791
2012,Maine,14.4,46856,1328094,0.497092391,1.365,663618,277
2012,Maryland,10.4,71169,5888375,1.327219731,0.727179487,5271294,816
2012,Minnesota,11.4,58828,5377500,0.630147835,1.863782609,4269859,1031
2012,Missouri,16.2,45320,6026027,0.235945709,1.594030612,5048460,1016
2012,Nebraska,12.8,50766,1853691,2.983806228,1.13187935,1592302,308
2012,New Hampshire,9.7,63157,1324677,0.554977307,1.446153846,858671,254
2012,New Jersey,10.7,69705,8845671,1.206872247,1.787217125,9013555,1589
2012,New Mexico,20.6,42828,2087715,1.058561404,0.623333333,1834886,274
2012,New York,15.9,56357,19574362,0.826651081,1.722777778,18210792,3533
2012,North Carolina,18,45195,9751810,1.14509287,1.156578073,8135150,1591
2012,Oregon,17,49090,3900102,1.028417722,1.02768,3969674,577
2012,Rhode Island,14.2,54002,1054893,1.017761194,1.42875,1024136,204
2012,South Carolina,18.3,43290,4719027,0.647995495,1.96480315,3708533,797
2012,Utah,13,57067,2854146,0.983989501,0.968785714,2739668,365
2012,Vermont,11.9,52700,626361,0.483349398,1.530447761,446168,89
2012,Washington,13.6,57574,6898599,1.138250841,1.283611111,5912722,1148
2012,West Virginia,18,40188,1857446,0.809812734,1.234,1350452,330
2012,Wisconsin,13.2,51063,5720825,1.37121372,1.772727273,4050454,1230
2013,Arizona,18.6,48504,6634690,2.119547383,0.678561644,6399564,893
2013,California,16.8,60185,38253768,2.025815287,1.482857143,41174594,5200
2013,Colorado,12.9,58942,5270774,0.927001414,2.543939394,5261460,740
2013,Connecticut,10.7,67262,3595792,1.289330709,0.855085575,2685610,685
2013,Delaware,12.9,58244,924062,2.011570681,0.6934,887902,144
2013,Florida,17.1,46021,19551678,0.604758118,1.182022472,19306431,5118
2013,Iowa,12.6,52286,3093935,1.137785388,2.388,2751937,636
2013,Kentucky,18.8,43307,4406906,0.864048583,1.879375,4585271,810
2013,Maine,14,47095,1328543,0.598048128,0.9375,663756,256
2013,Maryland,10.2,72482,5925197,1.211803653,1.932058824,5274390,905
2013,Minnesota,11.2,60664,5414722,0.66728903,1.705632653,4323800,1004
2013,Missouri,15.8,46905,6042989,0.245727029,1.658058824,5247591,980
2013,Nebraska,12.9,51502,1865813,2.91372617,1.58862069,1591813,306
2013,New Hampshire,9,64064,1327272,0.607608371,1.424642857,859314,237
2013,New Jersey,11.4,70224,8857821,1.214629213,2.139583333,9050329,1575
2013,New Mexico,21.4,44026,2092833,1.060017331,0.37875,1833878,305
2013,New York,16,57255,19626488,0.881763314,0.97656051,17209219,3819
2013,North Carolina,17.8,45946,9846717,1.156639248,1.021914648,8221516,1558
