Year,State,Poverty,Cases,Annual_income,Demograph,COPD
2005,Louisiana,20.2,6765.0,36547,4576628,28995.966101694914
2005,Maine,12.3,1145.0,42648,1318787,12558.0
2005,Maryland,8.3,9145.0,61546,5592379,28995.966101694914
2005,Massachusetts,10.3,9062.0,57176,6403290,29835.0
2005,Michigan,13.1,17162.0,46072,10051137,28995.966101694914
2005,Minnesota,9.2,4484.0,52048,5119598,28995.966101694914
2005,Mississippi,21.0,8965.707259953162,33090,2905943,28995.966101694914
2005,Missouri,13.6,7979.0,41946,5790300,34677.0
2005,Montana,14.6,8965.707259953162,38503,940102,28995.966101694914
2005,Nebraska,11.0,8965.707259953162,43675,1761497,28995.966101694914
2005,Nevada,11.1,8965.707259953162,49288,2432143,28995.966101694914
2005,New Hampshire,7.6,1025.0,56557,1298492,7429.0
2005,New Jersey,8.7,15319.0,61694,8651974,18716.0
2005,New Mexico,18.4,1963.0,37603,1932274,28995.966101694914
2005,New York,13.9,39004.0,49365,19132610,63784.0
2005,North Carolina,14.9,11170.0,40781,8705407,28995.966101694914
2005,North Dakota,11.6,8965.707259953162,40818,646089,28995.966101694914
2005,Ohio,13.0,8965.707259953162,43547,11463320,28995.966101694914
2005,Oklahoma,16.4,8965.707259953162,37020,3548597,28995.966101694914
2005,Oregon,14.1,2445.0,43065,3613202,28995.966101694914
2005,Pennsylvania,11.9,23759.0,44545,12449990,28995.966101694914
2005,Rhode Island,11.9,1531.0,50415,1067916,5115.0
2005,South Carolina,15.6,6658.0,39477,4270150,22974.0
2005,South Dakota,13.6,8965.707259953162,40096,775493,28995.966101694914
2005,Tennessee,15.6,8657.0,38947,5991057,28995.966101694914
2005,Texas,17.5,8965.707259953162,42165,22778123,28995.966101694914
2005,Utah,10.5,1521.0,48155,2457719,5240.0
2005,Vermont,10.4,419.0,45695,621215,3383.0
2005,Virginia,10.0,8965.707259953162,54207,7577105,28995.966101694914
2005,Washington,12.0,5158.0,49372,6257305,28995.966101694914
2005,West Virginia,18.0,8965.707259953162,33466,1820492,28995.966101694914
2005,Wisconsin,10.2,5599.0,47141,5546166,17394.0
2005,Wyoming,10.6,8965.707259953162,45501,514157,28995.966101694914
2006,Alabama,16.6,8965.707259953162,38811,4628981,28995.966101694914
2006,Alaska,10.9,8965.707259953162,58572,675302,28995.966101694914
2006,Arizona,14.2,6712.0,47315,6029141,12927.0
2006,Arkansas,17.3,8965.707259953162,36627,2821761,28995.966101694914
2006,California,13.1,33195.0,56646,36021202,94293.0
2006,Colorado,11.6,4147.0,52265,4720423,28995.966101694914
2006,Connecticut,8.3,4911.0,63352,3517460,8978.0
2006,Delaware,10.7,8965.707259953162,53714,859268,28995.966101694914
2006,District of Columbia,18.1,8965.707259953162,51746,570681,28995.966101694914
2006,Florida,12.6,26702.0,45494,18166990,82455.0
2006,Georgia,14.8,8965.707259953162,46808,9155813,28995.966101694914
2006,Hawaii,9.4,8965.707259953162,60554,1309731,28995.966101694914
2006,Idaho,12.8,8965.707259953162,42846,1468669,28995.966101694914
2006,Illinois,12.3,8965.707259953162,52012,12643955,28995.966101694914
2006,Indiana,12.5,8965.707259953162,45414,6332669,28995.966101694914
2006,Iowa,11.0,2082.0,44560,2982644,40815.0
2006,Kansas,12.2,2958.0,45369,2762931,28995.966101694914
2006,Kentucky,17.0,6988.0,39318,4219239,28995.966101694914
2006,Louisiana,19.4,5591.0,39122,4302665,28995.966101694914
2006,Maine,12.7,1063.0,43472,1323619,12450.0
2006,Maryland,8.0,9656.0,65041,5627367,28995.966101694914
2006,Massachusetts,10.0,9491.0,59930,6410084,29913.0
2006,Michigan,13.5,16091.0,47187,10036081,28995.966101694914
2006,Minnesota,9.7,4339.0,54022,5163555,28995.966101694914
2006,Mississippi,20.9,8965.707259953162,34615,2904978,28995.966101694914
2006,Missouri,13.8,7705.0,42838,5842704,31853.0
2006,Montana,14.4,8965.707259953162,40299,952692,28995.966101694914
2006,Nebraska,11.3,8965.707259953162,45369,1772693,28995.966101694914
2006,Nevada,10.5,8965.707259953162,52800,2522658,28995.966101694914
2006,New Hampshire,8.0,1010.0,59265,1308389,7291.0
2006,New Jersey,8.7,15502.0,64549,8661679,17042.0
2006,New Mexico,18.3,1797.0,40610,1962137,28995.966101694914
2006,New York,14.2,39638.0,51340,19104631,62953.0
2006,North Carolina,14.6,10533.0,42721,8917270,28995.966101694914
2006,North Dakota,11.7,8965.707259953162,41852,649422,28995.966101694914
2006,Ohio,13.2,8965.707259953162,44609,11481213,28995.966101694914
2006,Oklahoma,16.7,8965.707259953162,38753,3594090,28995.966101694914
2006,Oregon,13.4,2220.0,46228,3670883,28995.966101694914
2006,Pennsylvania,12.0,23711.0,46256,12510809,28995.966101694914
2006,Rhode Island,11.5,1464.0,51324,1063096,5079.0
2006,South Carolina,15.7,6109.0,41204,4357847,21685.0
2006,South Dakota,13.6,8965.707259953162,42432,783033,28995.966101694914
2006,Tennessee,16.1,8053.0,40368,6088766,28995.966101694914
2006,Texas,16.9,8965.707259953162,44943,23359580,28995.966101694914
2006,Utah,10.7,1292.0,51373,2525507,4557.0
2006,Vermont,10.2,360.0,47778,622892,3268.0
2006,Virginia,9.6,8965.707259953162,56297,7673725,28995.966101694914
2006,Washington,11.8,4510.0,52571,6370753,28995.966101694914
2006,West Virginia,17.6,8965.707259953162,35028,1827912,28995.966101694914
2006,Wisconsin,10.9,5071.0,48784,5577655,16394.0
2006,Wyoming,10.3,8965.707259953162,47819,522667,28995.966101694914
2007,Alabama,16.6,8965.707259953162,40596,4672840,28995.966101694914
2007,Alaska,9.8,8965.707259953162,62854,680300,28995.966101694914
2007,Arizona,14.1,6735.0,49923,6167681,13375.0
2007,Arkansas,17.6,8965.707259953162,38239,2848650,28995.966101694914
2007,California,12.4,32156.0,59928,36250311,98157.0
2007,Colorado,11.5,4083.0,55517,4803868,28995.966101694914
2007,Connecticut,7.9,4841.0,65969,3527270,9426.0
2007,Delaware,10.3,8965.707259953162,55988,871749,28995.966101694914
2007,District of Columbia,17.1,8965.707259953162,54812,574404,28995.966101694914
2007,Florida,12.1,26802.0,47804,18367842,80484.0
2007,Georgia,14.3,8965.707259953162,49080,9349988,28995.966101694914
2007,Hawaii,8.5,8965.707259953162,62613,1315675,28995.966101694914
2007,Idaho,12.1,8965.707259953162,46136,1505105,28995.966101694914
2007,Illinois,11.9,8965.707259953162,54141,12695866,28995.966101694914
2007,Indiana,12.3,8965.707259953162,47422,6379599,28995.966101694914
2007,Iowa,11.0,2190.0,47324,2999212,23598.0
2007,Kansas,11.2,2941.0,47341,2783785,28995.966101694914
2007,Kentucky,17.2,6302.0,40299,4256672,28995.966101694914
2007,Louisiana,18.8,5700.0,40866,4375581,28995.966101694914
2007,Maine,12.2,998.0,45832,1327040,12462.0
2007,Maryland,8.3,9776.0,67989,5653408,28995.966101694914
2007,Massachusetts,10.0,9385.0,62383,6431559,29096.0
2007,Michigan,13.9,15393.0,47931,10001284,28995.966101694914
2007,Minnesota,9.5,4793.0,55664,5207203,14522.0
2007,Mississippi,20.7,8965.707259953162,36424,2928350,28995.966101694914
2007,Missouri,13.3,7610.0,45012,5887612,33861.0
