Year,State,Poverty,Cases,Annual_income,Demograph,CO,O3,PM2.5
2007,Pennsylvania,11.6,22916,48562,12563937,0.224,0.048310185,12.99111111
2007,Rhode Island,11.9,1483,52755,1057315,0.4,0.046833333,8.916666667
2007,South Carolina,15.1,6055,43508,4444110,0.2,0.054090909,10.97521368
2007,Tennessee,15.8,7683,42389,6175727,0.40475,0.057616667,13.09429825
2007,Utah,9.8,1276,55220,2597746,0.5,0.05961413,7.427222222
2007,Vermont,10.1,399,49698,623481,0.425,0.045,6.76
2007,Washington,11.4,4647,55628,6461587,0.593166667,0.03775,8.825
2007,West Virginia,17.1,2661,37057,1834052,0.3,0.05305,13.38823529
2007,Wisconsin,10.8,4997,50567,5610775,0.20675,0.045507143,10.47307692
2008,Arizona,14.7,7511,51009,6280362,0.3275,0.052061224,8.498701299
2008,California,13.3,34153,61017,36604337,0.338607595,0.046471795,9.545683453
2008,Colorado,11.2,4512,57184,4889730,0.338888889,0.056852941,6.752631579
2008,Connecticut,9.1,4917,68294,3545579,0.41975,0.0466875,9.0625
2008,Florida,13.3,27756,47802,18527305,0.4490625,0.043639151,7.240449438
2008,Iowa,11.4,2206,49007,3016734,0.227125,0.041942308,9.418181818
2008,Kansas,11.3,2922,50174,2808076,0.333333333,0.046636364,8.85
2008,Kentucky,17.3,6863,41489,4289878,0.325,0.049161765,11.64827586
2008,Louisiana,17.6,5769,43635,4435586,0.22,0.039538462,9.75
2008,Maine,12.6,1080,46419,1330509,0.167166667,0.04125,4.9
2008,Maryland,8.2,9941,70482,5684965,0.3235,0.049691667,11.15337423
2008,Massachusetts,10.1,10311,65304,6468967,0.326083333,0.04678125,8.855
2008,Michigan,14.4,16429,48606,9946889,0.2,0.046433333,9.629411765
2008,Minnesota,9.6,4177,57318,5247018,0.171428571,0.041953125,7.527272727
2008,Missouri,13.5,8242,46847,5923916,0.2625,0.046967391,11.30967742
2008,New Hampshire,7.8,1123,63235,1315906,0.5,0.042192308,7.079411765
2008,New Jersey,8.7,15230,70347,8711090,0.336363636,0.047716667,9.869230769
2008,New Mexico,17,2126,43719,2010662,0.235714286,0.046586538,6.214285714
2008,New York,13.7,39360,55980,19212436,0.330769231,0.044098684,9.362068966
2008,North Carolina,14.6,10703,46574,9309449,0.4392,0.051215909,10.66428571
2008,Oregon,13.5,2376,50165,3768748,0.4,0.037909091,6.740540541
2008,Pennsylvania,12.1,23878,50702,12612285,0.17826087,0.046260204,11.61956522
2008,Rhode Island,12.1,1591,54562,1055003,0.2,0.0475,7.511627907
2008,South Carolina,15.7,6075,44695,4528996,0.3,0.051228261,10.8
2008,Tennessee,15.5,8116,43610,6247411,0.3465,0.051365385,10.16
2008,Utah,9.7,1404,56820,2663029,0.441666667,0.056213415,7.242105263
2008,Vermont,10.4,360,52111,624151,0.4,0.04575,6.66
2008,Washington,11.3,4669,58081,6562231,0.405875,0.036553571,8.886666667
2008,West Virginia,17.4,2746,37528,1840310,0.366666667,0.047625,12.2875
2008,Wisconsin,10.5,5379,52103,5640996,0.1185,0.043816176,9.980769231
2009,Arizona,16.5,8265,48711,6343154,0.3175,0.050098958,7.747663551
2009,California,14.2,36434,58925,36961229,0.28869863,0.04318099,9.882352941
2009,Colorado,12.6,4795,55735,4972195,0.327777778,0.05280814,6.223913043
2009,Connecticut,9.3,5334,66906,3561807,0.401666667,0.042520833,7.3375
2009,Florida,15,29778,44755,18652644,0.342923077,0.043162281,7.038066465
2009,Iowa,11.8,2223,48065,3032870,0.245,0.040716667,8.840909091
2009,Kansas,13.2,2867,47709,2832704,0.283333333,0.046595238,8.366666667
2009,Kentucky,18.4,7492,40061,4317074,0.45,0.042931818,10.06428571
2009,Louisiana,17.6,6500,42460,4491648,0.195,0.0395,8.59047619
2009,Maine,12.6,1167,45708,1329590,0.147833333,0.039355263,5.7
2009,Maryland,9.2,10675,69193,5730388,0.2705,0.0457375,9.417322835
2009,Massachusetts,10.3,10577,64057,6517613,0.325833333,0.042955882,7.77
2009,Michigan,16.1,16828,45254,9901591,0.2,0.044137931,8.08
2009,Minnesota,10.9,4130,55621,5281203,0.083333333,0.040953125,6.328571429
2009,Missouri,14.6,8082,45149,5961088,0.25,0.04439,9.507453416
2009,New Hampshire,8.6,1098,60734,1316102,0.4,0.039375,6.692
2009,New Jersey,9.4,16608,68444,8755602,0.327272727,0.043116667,7.961904762
2009,New Mexico,18.2,2058,42830,2036802,0.34,0.044692308,4.9
2009,New York,14.2,42211,54554,19307066,0.307090909,0.041737179,7.896428571
2009,North Carolina,16.2,11007,43754,9449566,0.3299375,0.044566667,8.802857143
2009,Oregon,14.3,2500,48325,3808600,0.3675,0.039675,6.434567901
2009,Pennsylvania,12.5,24408,49501,12666858,0.173333333,0.042453704,10.66468843
2009,Rhode Island,12,1750,53243,1053646,0.2,0.042916667,6.604081633
2009,South Carolina,17.1,6308,42580,4589872,0.15,0.0447375,9.3
2009,Tennessee,17.2,8017,41715,6306019,0.319875,0.04421,10.7
2009,Utah,11.7,1649,55183,2723421,0.34,0.054644737,6.604827586
2009,Vermont,11.5,419,51219,624817,0.3,0.043125,5.9
2009,Washington,12.3,5058,56479,6667426,0.335875,0.039,7.50625
2009,West Virginia,17.8,2776,37423,1847775,0.433333333,0.0434,10.7
2009,Wisconsin,12.4,5417,49994,5669264,0.095,0.041279412,8.075862069
2010,Arizona,17.6,8050,46787,6407342,0.328947368,0.050361702,6.892
2010,California,15.8,34838,57664,37319550,0.29622973,0.043604167,8.325200458
2010,Colorado,13.2,4313,54411,5047539,0.333333333,0.054361446,6.062068966
2010,Connecticut,10.1,4616,64321,3579173,0.332142857,0.047875,7.04375
2010,Florida,16.5,30112,44390,18846143,0.262681818,0.045563559,7.60899654
2010,Iowa,12.5,2183,48031,3050819,0.228166667,0.042683333,9.317391304
2010,Kansas,13.5,2571,47888,2858266,0.433333333,0.048613636,8.483333333
2010,Kentucky,18.9,6584,40089,4348464,0.425,0.049962121,11.43253012
2010,Louisiana,18.8,5746,42510,4544635,0.2,0.042317308,9.44
2010,Maine,13.1,966,45882,1327651,0.199666667,0.042881579,8.336535806
